Experiment ID                :  TravelingSalesman
Problem Type                 :  TS
Data Input File Name         :  NA
Number of Runs               :  30
Generations per Run          :  100
Population Size              :  40
Selection Method             :  1
Fitness Scaling Type         :  1
Min or Max Fitness           :  min
Crossover Type               :  2
Crossover Rate               :  0.05
Mutation Type                :  2
Mutation Rate                :  0.0
Random Number Seed           :  75982
Number of Genes/Points       :  48
Size of Genes                :  1


 R   6 G  17 9335.97072   9335.971        0.0
 R   6 G  18 9335.97072   9335.971        0.0
 R   6 G  19 9335.97072   9335.971        0.0
 R   6 G  20 9335.97072   9335.971        0.0
 R   6 G  21 9335.97072   9335.971        0.0
 R   6 G  22 9335.97072   9335.971        0.0
 R   6 G  23 9335.97072   9335.971        0.0
 R   6 G  24 9335.97072   9335.971        0.0
 R   6 G  25 9335.97072   9335.971        0.0
 R   6 G  26 9335.97072   9335.971        0.0
 R   6 G  27 9335.97072   9335.971        0.0
 R   6 G  28 9335.97072   9335.971        0.0
 R   6 G  29 9335.97072   9335.971        0.0
 R   6 G  30 9335.97072   9335.971        0.0
 R   6 G  31 9335.97072   9335.971        0.0
 R   6 G  32 9335.97072   9335.971        0.0
 R   6 G  33 9335.97072   9335.971        0.0
 R   6 G  34 9335.97072   9335.971        0.0
 R   6 G  35 9335.97072   9335.971        0.0
